,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
31,0.747,0.861,8,-5.251,1,0.0514,0.113,0.0,0.026,0.859,103.966,audio_features,1TwLKNsCnhi1HxbIi4bAW0,spotify:track:1TwLKNsCnhi1HxbIi4bAW0,https://api.spotify.com/v1/tracks/1TwLKNsCnhi1HxbIi4bAW0,https://api.spotify.com/v1/audio-analysis/1TwLKNsCnhi1HxbIi4bAW0,190240,4
32,0.674,0.524,7,-8.491,1,0.0301,0.499,0.0,0.0847,0.7,128.519,audio_features,4y3YHQDcCQBBdo2XEjLUVQ,spotify:track:4y3YHQDcCQBBdo2XEjLUVQ,https://api.spotify.com/v1/tracks/4y3YHQDcCQBBdo2XEjLUVQ,https://api.spotify.com/v1/audio-analysis/4y3YHQDcCQBBdo2XEjLUVQ,146039,4
33,0.464,0.813,10,-6.185,1,0.0416,0.0153,0.0,0.254,0.515,75.977,audio_features,6xHI9KjUjYT0FPtGO8Mxa1,spotify:track:6xHI9KjUjYT0FPtGO8Mxa1,https://api.spotify.com/v1/tracks/6xHI9KjUjYT0FPtGO8Mxa1,https://api.spotify.com/v1/audio-analysis/6xHI9KjUjYT0FPtGO8Mxa1,222533,4
34,0.457,0.948,10,-3.364,1,0.0354,0.0191,0.0,0.0536,0.878,148.0,audio_features,0i5el041vd6nxrGEU8QRxy,spotify:track:0i5el041vd6nxrGEU8QRxy,https://api.spotify.com/v1/tracks/0i5el041vd6nxrGEU8QRxy,https://api.spotify.com/v1/audio-analysis/0i5el041vd6nxrGEU8QRxy,208960,4
35,0.552,0.765,5,-6.8,1,0.0436,0.198,0.0,0.195,0.757,171.801,audio_features,4EtjzbUeVsZ3W2Ffz5EHqI,spotify:track:4EtjzbUeVsZ3W2Ffz5EHqI,https://api.spotify.com/v1/tracks/4EtjzbUeVsZ3W2Ffz5EHqI,https://api.spotify.com/v1/audio-analysis/4EtjzbUeVsZ3W2Ffz5EHqI,178605,4
36,0.652,0.719,1,-7.251,1,0.033,0.0353,0.0,0.108,0.24,94.969,audio_features,3izNaTiYdotdPL0Bs76JqO,spotify:track:3izNaTiYdotdPL0Bs76JqO,https://api.spotify.com/v1/tracks/3izNaTiYdotdPL0Bs76JqO,https://api.spotify.com/v1/audio-analysis/3izNaTiYdotdPL0Bs76JqO,197640,4
37,0.496,0.632,7,-4.933,1,0.0282,0.257,1.07e-06,0.109,0.278,156.034,audio_features,1eFrhAmzoQnTlwvnqvLt7D,spotify:track:1eFrhAmzoQnTlwvnqvLt7D,https://api.spotify.com/v1/tracks/1eFrhAmzoQnTlwvnqvLt7D,https://api.spotify.com/v1/audio-analysis/1eFrhAmzoQnTlwvnqvLt7D,241147,4
38,0.62,0.589,9,-7.386,1,0.0386,0.293,0.0,0.0792,0.695,204.019,audio_features,6NiK6CAHvE8pBl7yHhe4Tu,spotify:track:6NiK6CAHvE8pBl7yHhe4Tu,https://api.spotify.com/v1/tracks/6NiK6CAHvE8pBl7yHhe4Tu,https://api.spotify.com/v1/audio-analysis/6NiK6CAHvE8pBl7yHhe4Tu,156471,4
39,0.632,0.804,7,-6.109,1,0.0503,0.101,0.0,0.17,0.35,92.456,audio_features,6n6OQfBpCgzF9oEg8zhBN7,spotify:track:6n6OQfBpCgzF9oEg8zhBN7,https://api.spotify.com/v1/tracks/6n6OQfBpCgzF9oEg8zhBN7,https://api.spotify.com/v1/audio-analysis/6n6OQfBpCgzF9oEg8zhBN7,199625,4
40,0.606,0.652,9,-6.982,1,0.0281,0.323,0.0,0.201,0.476,97.155,audio_features,5AnSllIrgGsCZzZJkVnApx,spotify:track:5AnSllIrgGsCZzZJkVnApx,https://api.spotify.com/v1/tracks/5AnSllIrgGsCZzZJkVnApx,https://api.spotify.com/v1/audio-analysis/5AnSllIrgGsCZzZJkVnApx,182493,4
41,0.599,0.448,9,-8.658,1,0.0261,0.187,7.52e-06,0.202,0.46,150.798,audio_features,5F8asuH09oViVjVot4je3w,spotify:track:5F8asuH09oViVjVot4je3w,https://api.spotify.com/v1/tracks/5F8asuH09oViVjVot4je3w,https://api.spotify.com/v1/audio-analysis/5F8asuH09oViVjVot4je3w,284298,3
42,0.6,0.851,11,-4.645,1,0.0388,0.00566,9.78e-06,0.0891,0.727,98.007,audio_features,6lUNNXp7M8boA7gUEd6PSm,spotify:track:6lUNNXp7M8boA7gUEd6PSm,https://api.spotify.com/v1/tracks/6lUNNXp7M8boA7gUEd6PSm,https://api.spotify.com/v1/audio-analysis/6lUNNXp7M8boA7gUEd6PSm,186600,4
43,0.538,0.752,10,-5.106,1,0.0396,0.0608,5.39e-06,0.118,0.217,139.984,audio_features,1dyxS3YzBbL0t8rEVwVQ1K,spotify:track:1dyxS3YzBbL0t8rEVwVQ1K,https://api.spotify.com/v1/tracks/1dyxS3YzBbL0t8rEVwVQ1K,https://api.spotify.com/v1/audio-analysis/1dyxS3YzBbL0t8rEVwVQ1K,205107,4
44,0.626,0.698,2,-6.972,1,0.0282,0.363,0.0,0.277,0.65,90.002,audio_features,5oakLWpcG4TSKVu6RH6JyY,spotify:track:5oakLWpcG4TSKVu6RH6JyY,https://api.spotify.com/v1/tracks/5oakLWpcG4TSKVu6RH6JyY,https://api.spotify.com/v1/audio-analysis/5oakLWpcG4TSKVu6RH6JyY,188367,4
45,0.634,0.808,3,-4.12,1,0.0517,0.192,0.0,0.0898,0.937,82.016,audio_features,5g0XcG0apQTlO3X8r38vGf,spotify:track:5g0XcG0apQTlO3X8r38vGf,https://api.spotify.com/v1/tracks/5g0XcG0apQTlO3X8r38vGf,https://api.spotify.com/v1/audio-analysis/5g0XcG0apQTlO3X8r38vGf,186867,4
46,0.574,0.745,2,-6.663,1,0.0507,0.319,0.0,0.11,0.693,154.042,audio_features,2WKLUgklz0VDX5bKTZ3eYD,spotify:track:2WKLUgklz0VDX5bKTZ3eYD,https://api.spotify.com/v1/tracks/2WKLUgklz0VDX5bKTZ3eYD,https://api.spotify.com/v1/audio-analysis/2WKLUgklz0VDX5bKTZ3eYD,179078,4
47,0.677,0.722,0,-8.966,1,0.0286,0.0839,0.0,0.295,0.831,113.034,audio_features,4mEciyuh2TkC06tQTayapI,spotify:track:4mEciyuh2TkC06tQTayapI,https://api.spotify.com/v1/tracks/4mEciyuh2TkC06tQTayapI,https://api.spotify.com/v1/audio-analysis/4mEciyuh2TkC06tQTayapI,190088,4
48,0.611,0.8,0,-5.61,1,0.0377,0.257,0.0,0.194,0.527,89.974,audio_features,5S5rw0WLVCAux5B5bWCehK,spotify:track:5S5rw0WLVCAux5B5bWCehK,https://api.spotify.com/v1/tracks/5S5rw0WLVCAux5B5bWCehK,https://api.spotify.com/v1/audio-analysis/5S5rw0WLVCAux5B5bWCehK,209280,4
49,0.507,0.372,1,-8.433,1,0.0303,0.481,0.0,0.271,0.257,86.422,audio_features,5Z19ylxppfnfdP4JH0u8oj,spotify:track:5Z19ylxppfnfdP4JH0u8oj,https://api.spotify.com/v1/tracks/5Z19ylxppfnfdP4JH0u8oj,https://api.spotify.com/v1/audio-analysis/5Z19ylxppfnfdP4JH0u8oj,199693,4
